Etc/UTC,Open,High,Low,Close,Volume
2026-07-31T13:07:00+00:00,28366.689,28375.321,28366.131,28374.065,69740
2026-07-31T13:08:00+00:00,28374.208,28379.376,28373.443,28377.443,73260
2026-07-31T13:09:00+00:00,28377.897,28385.665,28376.519,28381.11,71280
2026-07-31T13:10:00+00:00,28381.686,28401.453,28381.686,28399.664,72160
2026-07-31T13:11:00+00:00,28399.864,28402.11,28390.086,28394.664,70840
2026-07-31T13:12:00+00:00,28394.164,28395.199,28388.997,28391.931,70620
2026-07-31T13:13:00+00:00,28391.965,28394.032,28388.299,28392.143,65560
2026-07-31T13:14:00+00:00,28391.998,28402.986,28390.019,28402.408,73260
2026-07-31T13:15:00+00:00,28402.12,28412.564,28402.12,28409.519,73040
2026-07-31T13:16:00+00:00,28409.121,28416.889,28409.121,28416.632,72600
2026-07-31T13:17:00+00:00,28416.564,28417.164,28410.31,28413.599,70840
2026-07-31T13:18:00+00:00,28413.108,28416.954,28406.342,28410.597,70400
2026-07-31T13:19:00+00:00,28411.321,28418.653,28407.965,28412.087,74800
2026-07-31T13:20:00+00:00,28412.008,28415.886,28404.176,28406.886,75020
2026-07-31T13:21:00+00:00,28407.031,28412.165,28404.575,28410.132,71060
2026-07-31T13:22:00+00:00,28409.886,28420.199,28402.153,28419.209,76120
2026-07-31T13:23:00+00:00,28418.587,28424.843,28413.42,28422.331,73920
2026-07-31T13:24:00+00:00,28421.521,28421.986,28409.608,28421.597,75020
2026-07-31T13:25:00+00:00,28421.431,28435.121,28421.431,28433.075,74800
2026-07-31T13:26:00+00:00,28432.965,28440.019,28427.932,28428.089,75240
2026-07-31T13:27:00+00:00,28427.698,28437.789,28422.443,28436.854,77220
2026-07-31T13:28:00+00:00,28440.508,28453.921,28436.631,28440.631,80740
2026-07-31T13:29:00+00:00,28440.975,28455.389,28431.554,28449.508,78980
2026-07-31T13:30:00+00:00,28448.886,28485.554,28416.187,28471.631,152460
2026-07-31T13:31:00+00:00,28471.953,28505.099,28459.454,28499.61,162580
2026-07-31T13:32:00+00:00,28498.132,28539.076,28498.132,28537.454,127380
2026-07-31T13:33:00+00:00,28537.098,28568.097,28535.621,28560.465,126500
2026-07-31T13:34:00+00:00,28560.065,28581.698,28556.054,28563.542,120340
2026-07-31T13:35:00+00:00,28557.943,28598.008,28553.708,28581.799,123640
2026-07-31T13:36:00+00:00,28581.086,28584.476,28544.864,28554.199,133980
2026-07-31T13:37:00+00:00,28554.375,28558.053,28519.187,28532.654,135300
2026-07-31T13:38:00+00:00,28532.553,28535.331,28457.186,28477.51,153120
2026-07-31T13:39:00+00:00,28479.454,28481.41,28429.542,28435.332,158620
2026-07-31T13:40:00+00:00,28433.953,28447.01,28389.964,28409.009,156640
2026-07-31T13:41:00+00:00,28407.61,28449.965,28395.154,28398.575,154660
2026-07-31T13:42:00+00:00,28400.008,28415.032,28349.509,28351.664,162140
2026-07-31T13:43:00+00:00,28352.675,28373.909,28309.419,28343.954,168740
2026-07-31T13:44:00+00:00,28343.053,28356.02,28289.453,28292.089,168080
2026-07-31T13:45:00+00:00,28292.009,28345.431,28281.564,28303.342,177100
2026-07-31T13:46:00+00:00,28304.553,28307.719,28257.376,28271.831,172040
2026-07-31T13:47:00+00:00,28273.364,28291.664,28243.42,28252.81,179080
2026-07-31T13:48:00+00:00,28253.631,28262.099,28203.353,28222.953,168960
2026-07-31T13:49:00+00:00,28223.953,28241.299,28195.121,28233.931,174240
2026-07-31T13:50:00+00:00,28234.931,28259.075,28192.431,28219.108,180840
2026-07-31T13:51:00+00:00,28220.343,28265.599,28213.364,28265.599,165220
2026-07-31T13:52:00+00:00,28264.199,28280.087,28212.165,28218.942,176220
2026-07-31T13:53:00+00:00,28218.676,28219.009,28181.164,28196.608,183040
2026-07-31T13:54:00+00:00,28195.497,28210.897,28169.086,28203.853,179300
2026-07-31T13:55:00+00:00,28205.164,28236.921,28184.709,28234.454,180840
2026-07-31T13:56:00+00:00,28234.799,28270.121,28226.653,28269.353,183260
2026-07-31T13:57:00+00:00,28270.031,28285.698,28243.531,28246.543,161040
2026-07-31T13:58:00+00:00,28247.353,28255.398,28212.031,28214.075,146080
2026-07-31T13:59:00+00:00,28214.887,28253.032,28213.897,28230.709,132880
2026-07-31T14:00:00+00:00,28231.064,28263.021,28195.199,28216.542,154880
2026-07-31T14:01:00+00:00,28217.187,28220.465,28164.021,28198.02,173360
2026-07-31T14:02:00+00:00,28197.208,28210.931,28144.609,28160.232,168080
2026-07-31T14:03:00+00:00,28160.265,28182.476,28137.676,28155.021,170500
2026-07-31T14:04:00+00:00,28155.108,28160.289,28114.01,28115.186,147400
2026-07-31T14:05:00+00:00,28114.989,28129.11,28094.997,28123.209,154440
2026-07-31T14:06:00+00:00,28122.808,28143.676,28083.776,28084.665,140360
2026-07-31T14:07:00+00:00,28084.719,28088.189,28032.242,28062.175,146740
2026-07-31T14:08:00+00:00,28062.519,28066.697,27997.031,28022.42,151580
2026-07-31T14:09:00+00:00,28023.064,28039.942,27996.22,28024.989,152900
2026-07-31T14:10:00+00:00,28026.999,28046.098,27975.142,27999.819,174020
2026-07-31T14:11:00+00:00,27999.642,28042.064,27994.487,28041.453,174240
2026-07-31T14:12:00+00:00,28041.576,28063.131,28004.143,28012.631,170500
2026-07-31T14:13:00+00:00,28011.197,28017.153,27981.286,27991.931,169840
2026-07-31T14:14:00+00:00,27991.287,28022.62,27973.62,28009.543,169400
2026-07-31T14:15:00+00:00,28009.71,28034.742,27983.743,27996.721,154220
2026-07-31T14:16:00+00:00,27996.164,28000.02,27952.075,27984.631,151800
2026-07-31T14:17:00+00:00,27986.175,28033.097,27986.042,28006.543,170720
2026-07-31T14:18:00+00:00,28006.498,28068.032,28004.998,28065.943,155540
2026-07-31T14:19:00+00:00,28066.676,28086.608,28048.92,28051.632,158180
2026-07-31T14:20:00+00:00,28050.41,28108.054,28030.108,28097.164,161480
2026-07-31T14:21:00+00:00,28097.189,28108.976,28049.521,28078.142,173140
2026-07-31T14:22:00+00:00,28077.232,28119.676,28072.41,28109.899,153340
2026-07-31T14:23:00+00:00,28110.399,28119.065,28078.475,28103.565,164340
2026-07-31T14:24:00+00:00,28103.642,28104.71,28036.619,28067.199,158840
2026-07-31T14:25:00+00:00,28067.587,28094.431,28050.665,28066.631,162800
2026-07-31T14:26:00+00:00,28067.41,28081.443,28048.243,28066.954,164340
2026-07-31T14:27:00+00:00,28066.943,28104.576,28035.765,28099.119,159720
2026-07-31T14:28:00+00:00,28100.91,28126.399,28092.186,28124.687,149380
2026-07-31T14:29:00+00:00,28124.621,28130.51,28094.475,28122.787,140580
2026-07-31T14:30:00+00:00,28124.564,28137.753,28106.809,28127.275,152020
2026-07-31T14:31:00+00:00,28127.121,28154.289,28119.72,28124.054,139920
2026-07-31T14:32:00+00:00,28125.62,28129.632,28093.632,28129.632,149820
2026-07-31T14:33:00+00:00,28129.042,28147.009,28101.764,28102.508,143660
2026-07-31T14:34:00+00:00,28102.231,28120.399,28084.808,28111.664,143880
2026-07-31T14:35:00+00:00,28112.621,28157.108,28108.087,28154.999,135740
2026-07-31T14:36:00+00:00,28154.032,28160.464,28133.964,28148.697,140140
2026-07-31T14:37:00+00:00,28148.721,28164.799,28140.286,28149.975,137500
2026-07-31T14:38:00+00:00,28149.132,28162.987,28134.475,28134.475,127600
2026-07-31T14:39:00+00:00,28134.521,28156.91,28131.086,28143.532,123200
2026-07-31T14:40:00+00:00,28142.054,28167.699,28140.954,28157.642,126280
2026-07-31T14:41:00+00:00,28157.687,28162.91,28118.653,28122.043,132440
2026-07-31T14:42:00+00:00,28122.119,28122.497,28084.254,28109.065,145420
2026-07-31T14:43:00+00:00,28109.276,28134.598,28096.489,28131.197,144980
2026-07-31T14:44:00+00:00,28136.219,28152.653,28127.675,28141.954,133760
2026-07-31T14:45:00+00:00,28141.575,28150.189,28115.119,28122.697,143220
2026-07-31T14:46:00+00:00,28122.964,28177.175,28109.642,28146.497,139700
2026-07-31T14:47:00+00:00,28146.389,28156.509,28123.232,28151.719,135740
2026-07-31T14:48:00+00:00,28151.432,28189.498,28142.953,28189.154,127600
2026-07-31T14:49:00+00:00,28189.197,28211.031,28178.42,28204.553,113960
2026-07-31T14:50:00+00:00,28205.142,28214.921,28190.809,28199.532,117700
2026-07-31T14:51:00+00:00,28199.72,28218.219,28195.621,28212.087,120120
2026-07-31T14:52:00+00:00,28212.486,28214.62,28195.676,28205.219,113960
2026-07-31T14:53:00+00:00,28204.132,28217.476,28196.553,28209.697,115940
2026-07-31T14:54:00+00:00,28209.565,28211.131,28163.165,28170.499,115280
2026-07-31T14:55:00+00:00,28172.442,28178.608,28136.642,28149.165,130680
2026-07-31T14:56:00+00:00,28148.41,28194.164,28128.232,28185.319,126720
2026-07-31T14:57:00+00:00,28186.009,28206.254,28177.032,28181.776,123420
2026-07-31T14:58:00+00:00,28182.486,28193.921,28158.465,28193.921,118800
2026-07-31T14:59:00+00:00,28193.531,28195.186,28173.009,28180.486,114180
2026-07-31T15:00:00+00:00,28179.921,28197.12,28156.253,28157.265,132000
2026-07-31T15:01:00+00:00,28157.208,28180.132,28153.197,28161.764,134640
2026-07-31T15:02:00+00:00,28163.054,28186.176,28159.076,28175.264,128700
2026-07-31T15:03:00+00:00,28174.453,28184.464,28146.742,28161.665,134860
2026-07-31T15:04:00+00:00,28161.676,28200.254,28157.899,28194.61,123420
2026-07-31T15:05:00+00:00,28193.709,28214.319,28172.586,28173.197,113080
2026-07-31T15:06:00+00:00,28174.199,28196.208,28173.209,28177.464,124520
2026-07-31T15:07:00+00:00,28177.786,28186.986,28160.72,28176.008,122980
2026-07-31T15:08:00+00:00,28175.775,28179.789,28156.209,28160.989,125840
2026-07-31T15:09:00+00:00,28160.754,28164.699,28129.219,28150.242,125840
2026-07-31T15:10:00+00:00,28149.689,28157.889,28124.787,28139.643,133980
2026-07-31T15:11:00+00:00,28139.42,28142.487,28096.11,28104.465,132220
2026-07-31T15:12:00+00:00,28105.998,28142.719,28087.565,28138.519,132880
2026-07-31T15:13:00+00:00,28140.131,28151.576,28118.687,28148.642,132660
2026-07-31T15:14:00+00:00,28147.52,28172.02,28140.486,28142.432,122760
2026-07-31T15:15:00+00:00,28142.286,28210.721,28139.608,28178.964,125400
2026-07-31T15:16:00+00:00,28178.708,28182.497,28116.632,28132.065,126280
2026-07-31T15:17:00+00:00,28131.687,28138.921,28113.042,28125.753,126280
2026-07-31T15:18:00+00:00,28125.998,28134.72,28109.489,28131.509,119460
2026-07-31T15:19:00+00:00,28131.208,28144.109,28124.043,28134.009,119240
2026-07-31T15:20:00+00:00,28133.542,28142.61,28109.197,28117.719,126500
2026-07-31T15:21:00+00:00,28117.142,28137.032,28093.086,28095.065,124960
2026-07-31T15:22:00+00:00,28095.51,28108.964,28079.319,28086.631,121660
2026-07-31T15:23:00+00:00,28087.187,28096.964,28075.153,28090.743,121000
2026-07-31T15:24:00+00:00,28091.72,28093.131,28065.998,28067.742,109120
2026-07-31T15:25:00+00:00,28068.453,28080.176,28046.043,28049.598,119240
2026-07-31T15:26:00+00:00,28050.797,28059.475,28004.942,28015.053,119020
2026-07-31T15:27:00+00:00,28013.998,28028.709,28004.143,28005.943,128480
2026-07-31T15:28:00+00:00,28006.554,28029.553,27994.71,28027.508,119240
2026-07-31T15:29:00+00:00,28025.676,28036.71,28007.987,28023.52,130680
2026-07-31T15:30:00+00:00,28023.708,28039.61,28012.486,28026.72,138160
2026-07-31T15:31:00+00:00,28026.531,28051.275,28020.775,28024.164,127820
2026-07-31T15:32:00+00:00,28023.52,28032.41,28012.764,28029.989,120780
2026-07-31T15:33:00+00:00,28027.475,28033.308,28010.732,28015.953,115060
